char_name,description,extra
Albert Tillyman,"Albert Tillyman was a wizard and a bully whose wife, Violet, went missing after they argued. He believed she had disappeared in the Floo Network, which caused a national scare. Unbeknownst to him, she had traveled to the wrong house and left him for the man she met there, Myron… Read More",
Albus Dumbledore,"Albus Dumbledore was the Headmaster of Hogwarts for over thirty years, a time period that encompassed both of Voldemort’s attempts to take over the Wizarding world. Considered to be the most powerful wizard of his time, Dumbledore was awarded the Order of Merlin, First Class, and was… Read More",
Albus Potter,"Albus Potter is the middle child and second son of Harry Potter and Ginny Weasley Potter.  He is named after two headteachers of Hogwarts: Albus Dumbledore and Severus Snape. Albus is Neville Longbottom‘s godson (Pm) and, when he was six years old, his best friend… Read More",
Alderton,"Alderton was an alleged Muggle-born wizard who was accused of “stealing magic” and sent to Azkaban by the Muggle-born Registration Commission in the days when the Ministry was controlled by Death Eaters (DH13). He claimed to be the son of Arkie Alderton, a wizard (DH13). Read More",
Arkie Alderton,"Arkie Alderton is reported to be a well-known broomstick designer (DH13). In 1997, a man in front of the Muggle-born Registration Committee claims that “My father was a wizard, he was, look him up, Arkie Alderton….” (DH13) The use of past tense seems to indicate that Arkie… Read More",
Alecto Carrow,"Alecto and Amycus Carrow (JKR) were Death Eaters, a brother and sister, part of the group of Death Eaters that invaded Hogwarts in June of 1997 (HBP27); Snape implies that they were never sent to Azkaban (HBP2). When Voldemort took over Hogwarts, Alecto Carrow became the Muggle Studies teacher… Read More",
Alfred Cattermole,Alfred Cattermole was the son of Reginald and Mary Cattermole (DH13). Read More,
Alguff the Awful,Alguff the Awful was afoul-smelling goblin nuisance. Well known throughout the goblin world for trying to sell vials of his sweat to a Dungbomb manufacturer (FW). Read More,
Ali Bashir,"Ali Bashir was a flying carpet merchant who was very interested in importing flying carpets into Britain. Arthur Weasley wouldn’t allow it, so Ali tried to smuggle carpets in (GF7, GF23). Read More",
Alice Longbottom,"Alice Longbottom, along with her husband Frank, were Aurors, popular in the Wizarding World, who fought valiantly against Voldemort and his supporters during the 1970s. Frank and Alice were captured by Death Eaters shortly after the fall of Voldemort (late 1981). They were subjected to the Cruciatus Curse in an attempt… Read More",
Alicia Spinnet,"Alicia Spinnet was a Gryffindor girl two years (CS7) ahead of Harry Potter, in the same year as Angelina Johnson, Fred and George Weasley and Lee Jordan. She played Chaser on the Gryffindor Quidditch team with Harry (PS11). She was made a full member… Read More",
Aliko Okoye,"Aliko Okoye was a Beater for the Nigerian National Quidditch Team at the 2014 Quidditch World Cup. Appearances A member of the Nigerian team at the 2014 Quidditch World Cup tournament, Okoye and his Beater teammate Mercy Ojukwu, were described as “ferocious” during their match against Fiji, which… Read More",
Raul Almeida,"Raul Almeida played Keeper for the Brazil National Team at the 2014 Quidditch World Cup. Appearances As their Keeper at the 2014 tournament, Almeida was key to Brazil’s victory over the USA in the semi-final, repeatedly stopping the American Chasers from scoring, thus allowing the match to be decided by… Read More",
Almerick Sawbridge,Almerick Sawbridge was a wizard famous for conquering the river troll that was terrorizing crossers of the Wye River (fw41). Read More,
Alejandra Alonso,"Alejandra Alonso was a Chaser for the Brazilian National Team at the 2014 Quidditch World Cup. Appearances Alonso and fellow Chasers Fernando Diaz and Gonçalo Flores were key to the success of Brazilian team (QWC). During their first game, only the brilliance of the Haitian National… Read More",
Alphard Black,"Alphard Black was an uncle to Sirius and Regulus Black. Alphard was their mother’s brother; however he has been removed from the tapestry because he ‘gave gold to his runaway nephew,’ represented by a burn hole in the Black Family Tree (BFT).Thanks to his inheritance from Alphard, Sirius was able… Read More",
Altheda,"The second of three witches in the story “The Fountain of Fair Fortune” from The Tales of Beedle the Bard. Altheda was a witch who had lost confidence in herself after being robbed and humiliated, and went to find the fabled fountain for a cure for her feelings of helplessness. Read More",
Amarillo Lestoat,Amarillo Lestoat was a flamboyant american vampire. Author of A Vampire’s Monologue – intended to bore the reader into a stupor making him/her easier prey for vampires. Read More,
Amata,"The third of three witches in the story “The Fountain of Fair Fortune” from The Tales of Beedle the Bard. In the Amazon.com paraphrase, Amata was a witch seeking a cure from the fountain for the grief and longing caused when she was deserted by her beloved. As she… Read More",
Ambrosius Flume,Ambrosius Flume and his wife owned Honeydukes in Hogsmeade (PA10). He was one of Slughorn’s favorites while at Hogwarts (HBP4). Read More,
Amelia Susan Bones,"Amelia Susan Bones was the sister of Edgar Bones and the aunt of Susan Bones. Before her murder by Death Eaters, Amelia was the Head of the Department of Magical Law Enforcement (OP6) and presided over the Wizengamot (OP8), including Harry’s disciplinary hearing on August 12, 1995. She… Read More",
Amos Diggory,"Amos Diggory was a Ministry of Magic official who worked for the Department for the Regulation and Control of Magical Creatures. Amos is a ruddy-faced wizard with a scrubby brown beard. He takes a great deal of pride in his son, Cedric, even to the point of being somewhat rude… Read More",
Amy Benson,Amy Benson was a child from the orphanage whom Tom Riddle once terrorized in a seaside cave (HBP13). Read More,
Amycus Carrow,"Amycus Carrow was a squat, “lumpy” looking wizard with a lopsided leer and a wheezy giggle. Part of the group of Death Eaters who participated in the Battle of the Tower, where Amycus egged on Draco to kill Dumbledore, and had fun trying to curse Ginny Weasley (HBP27). Snape… Read More",
P.C. Anderson,"Police Constable Anderson was a Muggle police officer who detained two suspicious young men on a rather peculiar motorcycle. Anderson and his partner, Sergeant Fisher, were astonished to see what appeared to be two men flying on brooms, their squad car rise up into the air of its own accord,… Read More",
Andorran Minister for Magic,The Andorran Minister for Magic was mentioned by “mad” Mr. Crouch in the Forbidden Forest just before his death. Read More,
Andrew Kirke,"Andrew Kirke was at Gryffindor in the mid 1990s and on Gryffindor’s Quidditch Team as a Beater from 1995-96. Kirke was at least a second year during the 1995-1996 school year, and became a Beater on the Quidditch team after Fred and George were banned (… Read More",
Andromeda Tonks,"Andromeda Tonks was the mother of Nymphadora Tonks and the sister of Bellatrix Lestrange and Narcissa Malfoy. She was disowned by the Black family for marrying Ted Tonks, a Muggle-born wizard. Read More",
Andros the Invincible,"Andros the Invincible was an ancient Greek wizard, alleged to have been the only known wizard to produce a Patronus the size of a giant (FW). Read More",
Angelina Johnson,"Angelina Johnson is a tall, black (GF16) Gryffindor girl two years older than Harry. Background Angelina is an excellent Quidditch player (a Chaser) (PS11) and was captain of the Gryffindor Quidditch Team during the 1995-1996 school year (OP12). Her birthday is in the… Read More",
Angelus Peel,"Angelus Peel played Seeker for the Canadian National Team in 1877. Peel was one of the more unfortunate of the Quidditch players who was a participant in the 1877 Quidditch World Cup in Kazakhstan. Known as “The Tournament that Nobody Remembers“, Peel woke up with his knees on back-to-front and… Read More",
Angus Buchanan,"Angus Buchanan was a Squib who rose to fame playing rugby for the Scottish national side. Angus Buchanan was the only non-magical member of the Buchanan family of the Scottish Borders. Fearing the wrath of their father, the Buchanan siblings helped to conceal Angus’ lack of magic, even… Read More",
Angus Campbell,"Angus Campbell is a Chaser for the Montrose Magpies Quidditch team in the 1990s. Hired as the replacement Chaser (after the manager of the Magpies fired Alasdair Maddock), Campbell scored seven goals against the Caerphilly Catapults in his first game for the team. Who needs that Mugglemanic Maddock… Read More",
Angus Fleet,Angus Fleet was a Muggle living in Peebles in Great Britain. Angus was mystified by a flying Ford Anglia he spotted on 1 September 1992 (CS5). Read More,
Angus McMangus,"Angus McMangus was a Hogwarts classmate of Miranda Goshawk, author of the Book of Spells. Read More",
Annis Black,Annis Black was a hag whose letter is published in the Daily Prophet (DP1). Read More,
Anonymous,"Two authors are listed simply as “anonymous”: the author of Hairy Snout, Human Heart (FB) and the author of the infamous Pure-Blood Directory in the early 1930s. Many believe the latter to be Cantankerus Nott (Pm). Read More",
Anthony Goldstein,Anthony Goldstein was a Ravenclaw student in Harry’s year who became a prefect (OP10) and a member of the D.A. (OP16). He fought in the Battle of Hogwarts (DH29 ff.). Read More,
Antioch Peverell,"Antioch Peverell was the oldest of the three brothers in The Tale of the Three Brothers, and owner of the Elder Wand. Read More",
Antonin Dolohov,"Antonin Dolohov was a particularly sadistic Death Eater, one of Tom Riddle’s friends after leaving school (HBP20). He was sent to Azkaban for the murders of Gideon and Fabian Prewett (OP25). Dolohov escaped from Azkaban early in 1996, along with Bellatrix Lestrange and several other high-security prisoners, and rejoined… Read More",
Antonio,"A baby chupacabra named Antonio was chained under the chair of prisoner Gellert Grindelwald in MACUSA Headquarters. While placed there as a threat to the dark wizard, Antonio helped him escape when Ministry Aurors were moving him out of MACUSA custody in New York City (CG). The creature sank his… Read More",
Apolline Delacour,Apolline Delacour was the wife of Monsieur Delacour and the mother of Fleur and Gabrielle Delacour. She was half veela. Read More,
Apollyon Pringle,"Apollyon Pringle was the caretaker at Hogwarts when Arthur and Molly Weasley attended (1960s), preceding Argus Filch. He punished Arthur (for being caught out at night with Molly) in a way that left permanent scars (GF31). Read More",
Mrs. Figg,"Arabella Doreen Figg is a Squib, living in a house on Wisteria Walk in Little Whinging, Surrey. Mrs. Figg is an original member of The Order of the Phoenix and for fifteen years was assigned the task of watching over Harry Potter, who was growing up two… Read More",
Aragog,"Aragog was a male Acromantula, acquired as an egg c. 1942 by Hagrid from a traveller. Hagrid hid Aragog in a cupboard in the castle and reared him on table scraps until Aragog’s existence was exposed by Tom Riddle. At that point Hagrid was expelled, but he managed to release… Read More",
Araminta Meliflua,Araminta Meliflua was a cousin of Sirius Black’s mother. Meliflua tried to force through a Ministry bill to make Muggle-hunting legal (OP6). Read More,
Archer Evermonde,"Archer Evermonde was Minister for Magic during World War I, serving  1912 – 1923. Read More",
Archibald Alderton,Archibald Alderton was famous for blowing up the hamlet of Little Dropping in Hampshire while attempting to magically mix a birthday cake (FW). Read More,
Archie,"Archie was an old wizard with a penchant for flowered nightgowns; Archie refused to wear trousers at the World Cup campground, saying that he liked “a healthy breeze around his privates” (GF7). Possibly the Archie Aymslowe who is the president of F.A.R.T. Read More",
Archie Aymslowe,"Archie Aymslowe was president of the fringe movement entitled Fresh Air Refreshes Totally, or F.A.R.T. (Pm: Wizard Clothing). This character might very well be the Archie we encounter by the water pump in the campground at the World Cup, the wizard who “likes a good healthy breeze” around his privates… Read More",
Arcturus Black ,Arcturus Black (1884) was the son of Phineas Nigellus Black and Ursula Flint (BFT). Read More,(1884)
Arcturus Black ,"Arcturus Black (1901) was the father of Orion Black, grandfather of Sirius and Regulus Black. (BFT)… Read More",(1901)
Arcus,Arcus was one of two wizards thought to have taken the Elder Wand from Loxias. It is unknown whether he or Livius defeated him (DH21). Read More,
Argus Filch,"Argus Filch was the Hogwarts caretaker, a cantankerous, nasty man who detests the students. He knew the secret passageways and hidden doors of Hogwarts better than anyone except Fred and George Weasley (and now Harry, thanks to the Marauders’ Map). Filch was a Squib, which means that he was… Read More",
Argus Pyrites,"Argus Pyrites was a servant of Voldemort, quite a dandy wearing white silk gloves. Read More",
Ariana Dumbledore,"Ariana Dumbledore was the younger sister of Albus and Aberforth – Albus’s junior by four years, Aberforth’s by one.  At six years old, she was attacked by three muggle boys and was severely traumatized by the event.  Her father, Percival, was imprisoned for seeking revenge on the boys.  As a… Read More",
Aristotle Twelvetrees,Aristotle Twelvetrees was Keeper of Treasure and Dragots in MACUSA in the late 18th century (Pm). Read More,
Arkie Philpott,Arkie Phillpott was a wizard who ran afoul of a Probity Probe when he tried to get gold from his vault. This was due to the goblins tightened security at Gringotts after Voldemort returned (HBP6). Read More,
Armand Malfoy,"The first of the Malfoy family in Britain, Armand arrived in 1066 as part of William the Conqueror’s army. Armand was given a piece of land in Wiltshire as reward for his services to King William I (Pm). Read More",
Armando Dippet,"Armando Dippet is a former headmaster of Hogwarts (c. 1942 through mid-1960s), Dumbledore’s predecessor, who was totally taken in by Tom Riddle. Dippet’s portrait hangs in Dumbledore’s office (OP37). In life, he was nearly bald and somewhat feeble (CS13). Tom Riddle, when he had finished school, asked Dippet… Read More",
Armenian warlock,"Described as “ugly” and “old” by Gilderoy Lockhart, this warlock was the one who faced the Wagga Wagga Werewolf – only to have his memory wiped by Lockhart, who took credit for the warlock’s heroism by writing about it in Wandering with Werewolves (CS16). Read More",
Arnold,"Arnold is a Pygmy Puff that Molly Weasley bought for Ginny at Weasleys’ Wizard Wheezes in the fall of her fifth year (HBP6).  Arnold tends to ride around on Ginny’s shoulder in the Gryffindor common room, which is probably a good thing as Crookshanks seems to have taken an… Read More",
Arnold Guzman,"Arnold Guzman was an American who met with Newt Scamander at the Ministry of Magic in 1927. He was very persuasive in explaining how dangerous Gellert Grindelwald for members of the Wizarding World, especially Purebloods who saw him as a hero. Guzman also warned Newt that Grindelwald would use the… Read More",
Arnie Peasegood,Arnie Peasegood was an Obliviator and trained Hit-Wizard for the Accidental Magic Reversal Squad (GF7). Read More,
Arnulf Moe,"Arnulf Moe was the manager of Norway’s National Quidditch Team in 2014. Appearances For the opening ceremony of the 2014 Quidditch World Cup, Moe made the controversial decision to bring the Selma as Norway’s team mascot, which had some rather disastrous consequences. Arnulf Moe remained… Read More",
Arsenia Gonzales,"Arsenia Gonzales was a Chaser for the United States National Team at the 2014 Quidditch World Cup. Appearances Part of the team representing the United States in the 2014 Quidditch World Cup, Gonzales participated in the first round match against Jamaica (won by 240 points to 230)… Read More",
Arsenius Jigger,Arsenius Jigger was the author of Magical Drafts and Potions (PS5). Read More,
Artemisia Lufkin,"Artemisia Lufkin was the first witch to become Minister of Magic, serving from 1798 to 1811 (JKR). Lufkin established the Department of International Magical Cooperation and lobbied hard and successfully to have a Quidditch World Cup tournament held in Britain during her term in office (Pm). Read More",
Artemius Lawson,Artemius Lawson was an outspoken notorious campaigner for the suppression of trolls (DP2). Read More,
Arthur's contact at the Floo Regulation Panel,"Arthur Weasley’s contact at the Floo Regulation Panel was a Ministry of Magic employee who was involved with the Floo Regulation Panel. In the summer of 1994, he bent the Panel’s rule against connecting Muggle fireplaces to the Floo Network so that Arthur could collect Harry Potter from Privet Drive (… Read More",
Arthur Weasley,"Arthur Weasley is an easy-going, middle-aged wizard with a passion for Muggles, and whose dearest ambition is to learn how airplanes fly. Arthur fought, along with the rest of his family, in the Battle of Hogwarts in May, 1998. He and Molly have at least twelve grandchildren, and it… Read More",
Arturo Cephalopos,"Arturo Cephalopos was a wandmaker of poor reputation, a contemporary of Gerbold Ollivander. Garrick Ollivander, Gerbold’s grandson, called Arturo “a slipshod wandmaker and an ignoramus” and stated that “nobody … was surprised when he went out of business” (Pm). Read More",
Asha,"The first of three witches in the story “The Fountain of Fair Fortune” from The Tales of Beedle the Bard. In the account given on Amazon.com, Asha is a witch with an incurable malady who seeks wellness at the fountain. Along the way she meets two other women, Altheda and… Read More",
Astoria Greengrass,"Astoria is the younger sister of Daphne Greengrass. She entered Hogwarts two years after her sister and eventually married Draco Malfoy. Their only child was named Scorpius Hyperion Malfoy. Lucius and Narcissa objected to Draco’s choice of a wife, but he defied them. Astoria once told her son that this… Read More",
Over-Attentive Wizard,A man on Platform Nine-and-Three-Quarters who was particularly interested in Harry and got him to autograph something (CC1.4). Read More,
Bertram Aubrey,"Hogwarts student, 1970s James Potter and Sirius Black once received detention for hexing Aubrey and causing his head to grow twice its normal size (HBP24). Harry learned about it when Snape gave him a detention and made him copy-over Mr. Filch’s filing cabinet cards. Read More",
Audrey Weasley,Audrey Weasley is the wife of Percy Weasley (YL). Read More,
"Augusta ""Gran"" Longbottom","Neville’s grandmother who raised him in the absence of his parents. She is a forceful, strong woman and a powerful witch who wears green robes, a fox-fur scarf, a distinctive hat topped with a stuffed vulture, and carries a large red handbag. Neville loves her, but he’s a bit scared… Read More",
Augustus Pye,"Trainee Healer on the Dai Llewellyn Ward of St. Mungo’s who tried to heal Arthur Weasley’s snakebite in December 1995. He was very interested in “complementary medicine” (using Muggle techniques along with the magical approaches). He and Arthur decided to give stitches a try, but something in the wound kept dissolving them,… Read More",
Augustus Rookwood,"Augustus Rookwood was a Death Eater and spy in the Ministry during the first war with Voldemort. He worked for the Department of Mysteries but had agents throughout the Ministry, not all of whom knew who they were really working for. (For example, Rookwood was an… Read More",
Augustus Worme,"Editor at Obscurus Books who, in 1918, commissioned an authoritative compendium of magical creatures by a lowly Ministry employee by the name of Newt Scamander (FB). Read More",
Auntie Muriel,"An aunt of Molly Weasley’s (DH4) who looks like a “bad-tempered flamingo,” Muriel is quite a character. She attends Bill and Fleur’s wedding, but talks loudly throughout it and doesn’t seem to have a filter, telling Hermione she has skinny ankles and George that his ears are lopsided (… Read More",
Aunt Marge Dursley,"Miss Marjorie Eileen Dursley is Vernon Dursley’s loathsome older (Pm) sister. She lives in the country, in a house with a large garden where she breeds bulldogs but appears to have no other type of employment. Even though she is not Harry’s blood relation, he has been forced to call… Read More",
Aurelius Dumbledore,"Aurelius Dumbledore is the name by which Grindelwald identified Credence Barebone, suggesting that the boy was actually a brother of Albus, Aberforth, and Ariana. Only time will tell if this is true or if Grindelwald is lying to entice Credence into joining him. Read More",
Professor Sinistra,"Professor Sinistra was a professor of Astronomy at Hogwarts during the 1990s (JKR, CS11, GF12, GF23, OP12, OP13, OP14). Sinistra helped carry Justin Finch-Fletchley‘s Petrified body to the hospital wing in 1992 (CS11). She danced a two-step with Moody at… Read More",
Avery,"Avery was a Death Eater who attended Hogwarts with Severus Snape and served the Dark Lord during the first war with Voldemort (GF27). He avoided Azkaban by claiming to be under the Imperius Curse (GF27, OP9), and thus was punished by Voldemort with the Cruciatus Curse once the… Read More",
Avery family,"A Wizarding Pure-blood family, listed in the ‘Pure-Blood Directory’ (c. 1930) as one of the ‘Sacred Twenty-Eight’ families (Pm). Notable members of this family include the Death Eater Avery who attended Hogwarts with Severus Snape and another man named Avery who attended Hogwarts with Tom Riddle… Read More",
Babajide Akingbade,"Babajide Akingbade was a wizard who succeeded Dumbledore as Supreme Mugwump of the International Confederation of Wizards. Akingbade attended Uagadou, the African school for witches and wizards. Read More",
Babayaga,"Babayaga was a Russian hag who dwelt in a hut that stood on giant chicken legs. According to the legends about her, she ate children for breakfast – and presumably for lunch and tea (FW). Read More",
Babbitty Rabbitty,"Babbitty Rabbitty was a witch in the wizarding fairy tale “Babbitty Rabbitty and the Cackling Stump” from The Tales of Beedle the Bard. In this fable, Babbitty Rabbitty outwits a greedy king and his “charlatan” sorceror who try to round up wizards and witches so they can have all the… Read More",
Bagman Sr.,"Bagman Sr. is the father of Ludo and Otto Bagman. He is also a good friend of Augustus Rookwood, a Death Eater. Read More",
Bagman family,"The Bagman family is comprised of Ludo, Otto and their father, the unnamed Bagman Sr. Ludo Bagman Ludo was a celebrated Beater for the Wimbourne Wasps (c.1980) and later became head of the Department of Magical Games and Sports, until his somewhat informal departure… Read More",
Ludo Bagman,"Ludovic “Ludo” Bagman was a celebrated Beater for the Wimbourne Wasps c. 1980. When his Quidditch days were over, he joined the Department of Magical Games and Sports and eventually (c. 1993) became its head. He served in that capacity until his somewhat informal departure from… Read More",
Otto Bagman,"Otto Bagman was a wizard who got into trouble with the Misuse of Muggle Artifacts Office because of an unusual lawnmower which Arthur Weasley straightened out for him. Out of gratitude, Otto’s brother Ludo then arranged the Weasleys’ tickets to the Quidditch World Cup (GF5). Read More",
Millicent Bagnold,"Millicent Bagnold was Minister of Magic before Cornelius Fudge, from 1980-1990 (OP5). She was a “highly able Minister. Had to answer to the International Confederation of Wizards for a number of breaches of International Statute of Secrecy on the day and night following Harry Potter’s survival of Lord Voldemort’s… Read More",
Bathilda Bagshot,"Bathilda Bagshot was a famous magical historian and author of one of Hogwarts’ standard textbooks, A History of Magic. Her book is one of the books Hermione chose to store in her small pouch with the magically enlarged interior, in case it might prove useful during the quest to… Read More",
Kquewanda Bailey,"Kquewanda Bailey played Keeper for Jamaica’s National Team at the Quidditch World Cup tournament in 2014. During their first fixture in the 2014 tournament, Bailey suddenly collapsed and toppled from her broom at a crucial point in Jamaica’s match against the USA, but was saved by the referee’s quick thinking use… Read More",
Ballyfumble Stranger,"Ballyfumble Stranger is from Conundrum 5: The Miserable Ode of Quivering Quintus, part of Miranda Goshawk’s Book of Spells. He is a nervous and cowardly character, who flees from danger quickly and lacks bravery and daring. (BoS)… Read More",
Bandon Banshee,"The Bandon Banshee was a banshee defeated by a witch with a hairy chin, although Gilderoy Lockhart claimed credit for the defeat (CS6, CS16, CS – Edits and Changes to the Text). Read More",
Bane,Bane was a black-haired Centaur who dislikes and distrusts humans. He carried off Umbridge when she attacked Magorian. Read More,
Heathcote Barbary,Heathcote Barbary was rhythm guitarist for the wizarding band the Weird Sisters (FW). Read More,
José Barboza,"José Barboza was the Quidditch team manager for Brazil’s National Team in 2014. Barboza managed the Brazilian team that went all the way to the finals of the 2014 Quidditch World Cup (QWC). Having unwisely spoken to journalist Rita Skeeter before the tournament, a bad-tempered feud ensued between Barboza… Read More",
Bartholomew Barebone,"Bartholomew Barebone was a No-Maj whose discovery of the American wizarding community (thanks to Dorcus Twelvetrees giving him vital information) led to the instatement of Rappaport’s Law in the United States, completely segregating the magical and non-magical communities. Barebone was the descendant of Scourers, convinced to the reality of magic… Read More",
Chastity Barebone,"Chastity Barebone was the oldest adopted No-Maj daughter of Mary Lou Barebone, a Second Salem leader in 1920s New York. She was almost as fervent as her mother in handing out anti-witchcraft leaflets to the orphans who came to eat soup at Second Salem Church (WFT). Chastity died when mother… Read More",
